load_area,feature,importance,importance_norm
EASTON,days_from_bf,0.13674630224704742,0.13674630581298522
EASTON,peak_hour_lag_2d,0.09409419447183609,0.09409419692553349
EASTON,peak_hour_lag_3d,0.06311202049255371,0.06311202213832794
EASTON,peak_hour_lag_4d,0.05882629379630089,0.05882629533031608
EASTON,peak_hour_lag_5d,0.07806609570980072,0.07806609774553286
EASTON,peak_hour_lag_6d,0.04197022691369057,0.04197022800814955
EASTON,peak_hour_lag_7d,0.07149765640497208,0.07149765826941881
EASTON,peak_hour_lag_8d,0.035734545439481735,0.03573454637133265
EASTON,peak_hour_lag_9d,0.04765338450670242,0.047653385749361295
EASTON,peak_hour_bf_lag_1yr,0.02552264928817749,0.025522649953732452
EASTON,peak_hour_bf_lag_2yr,0.028684137389063835,0.028684138137061027
EASTON,peak_hour_bf_lag_3yr,0.0302574522793293,0.030257453068353875
EASTON,peak_hour_bf_lag_4yr,0.035582609474658966,0.035582610402547836
EKPC,day_of_week,0.09382326900959015,0.09382327914563975
EKPC,month,0.12511378526687622,0.12511379878334764
EKPC,day_of_month,0.029993519186973572,0.029993522427276337
EKPC,is_blackfriday,0.0,0.0
EKPC,is_thanksgiving,0.0,0.0
EKPC,days_from_bf,0.11824065446853638,0.11824066724247988
EKPC,peak_hour_lag_2d,0.07264933735132217,0.0726493451998793
EKPC,peak_hour_lag_3d,0.0570930615067482,0.05709306767470748
EKPC,peak_hour_lag_4d,0.10364057868719101,0.10364058988383824
EKPC,peak_hour_lag_5d,0.057414572685956955,0.057414578888650196
EKPC,peak_hour_lag_6d,0.04207504913210869,0.04207505367762058
EKPC,peak_hour_lag_7d,0.07280156016349792,0.0728015680285002
EKPC,peak_hour_lag_8d,0.04541531205177307,0.04541531695814502
EKPC,peak_hour_lag_9d,0.052303485572338104,0.05230349122286307
EKPC,peak_hour_bf_lag_1yr,0.03504455089569092,0.035044554681673966
EKPC,peak_hour_bf_lag_2yr,0.03336280584335327,0.03336280944765163
EKPC,peak_hour_bf_lag_3yr,0.031297456473112106,0.03129745985428369
EKPC,peak_hour_bf_lag_4yr,0.029730893671512604,0.029730896883443034
JC,day_of_week,0.013584277592599392,0.013584277655856115
JC,month,0.27615365386009216,0.27615365514603285
JC,day_of_month,0.004834761377424002,0.004834761399937614
JC,is_blackfriday,0.0,0.0
JC,is_thanksgiving,0.01825428381562233,0.018254283900625463
JC,days_from_bf,0.08818451315164566,0.0881845135622868
JC,peak_hour_lag_2d,0.12769103050231934,0.12769103109692703
JC,peak_hour_lag_3d,0.05447807535529137,0.05447807560897468
JC,peak_hour_lag_4d,0.08764093369245529,0.0876409341005652
JC,peak_hour_lag_5d,0.040813323110342026,0.040813323300393875
JC,peak_hour_lag_6d,0.09289207309484482,0.09289207352740725
JC,peak_hour_lag_7d,0.09532523900270462,0.09532523944659736
JC,peak_hour_lag_8d,0.019319970160722733,0.019319970250688354
JC,peak_hour_lag_9d,0.018227338790893555,0.018227338875771215
JC,peak_hour_bf_lag_1yr,0.024943672120571136,0.02494367223672416
JC,peak_hour_bf_lag_2yr,0.012281188741326332,0.012281188798515074
JC,peak_hour_bf_lag_3yr,0.018280981108546257,0.01828098119367371
JC,peak_hour_bf_lag_4yr,0.007094679865986109,0.007094679899023287
ME,day_of_week,0.07727152854204178,0.07727152839811234
ME,month,0.2034490406513214,0.20344904027236804
ME,day_of_month,0.023148002102971077,0.023148002059854563
ME,is_blackfriday,0.0,0.0
ME,is_thanksgiving,0.0,0.0
ME,days_from_bf,0.12226061522960663,0.12226061500187849
ME,peak_hour_lag_2d,0.036897286772727966,0.036897286704001414
ME,peak_hour_lag_3d,0.034052178263664246,0.03405217820023712
ME,peak_hour_lag_4d,0.04483471065759659,0.04483471057408543
ME,peak_hour_lag_5d,0.061011411249637604,0.061011411135994995
ME,peak_hour_lag_6d,0.03523620590567589,0.03523620584004334
ME,peak_hour_lag_7d,0.10649102181196213,0.10649102161360714
ME,peak_hour_lag_8d,0.050171155482530594,0.050171155389079534
ME,peak_hour_lag_9d,0.04294990748167038,0.04294990740166994
ME,peak_hour_bf_lag_1yr,0.04658036679029465,0.04658036670353195
ME,peak_hour_bf_lag_2yr,0.04036090895533562,0.040360908880157566
ME,peak_hour_bf_lag_3yr,0.03768623620271683,0.03768623613252074
ME,peak_hour_bf_lag_4yr,0.03759942576289177,0.03759942569285738
OE,day_of_week,0.07906851172447205,0.07906851349179105
OE,month,0.1633114367723465,0.16331144042264165
OE,day_of_month,0.01826516166329384,0.018265162071552026
OE,is_blackfriday,0.0,0.0
OE,is_thanksgiving,0.0386759378015995,0.0386759386660741
OE,days_from_bf,0.11641597747802734,0.11641598008012727
OE,peak_hour_lag_2d,0.04250861704349518,0.04250861799363683
OE,peak_hour_lag_3d,0.038349539041519165,0.03834953989869818
OE,peak_hour_lag_4d,0.03898727893829346,0.03898727980972707
